trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,3,2,0,73.69999999999999,73.69999999999999
2026-06-02,3,0,3,-41.80000000000001,-41.80000000000001
2026-06-03,2,1,1,102.34999999999997,102.34999999999997
2026-06-04,1,1,0,47.14999999999998,47.14999999999998
2026-06-05,2,1,0,78.1,78.1
2026-06-08,2,0,1,-17.5,-17.5
2026-06-09,3,1,2,17.69999999999999,17.69999999999999
2026-06-11,3,2,1,26.900000000000006,26.900000000000006
2026-06-12,4,0,3,-28.75000000000003,-28.75000000000003
2026-06-15,2,1,1,16.700000000000003,16.700000000000003
2026-06-16,4,0,3,-43.4,-43.4
2026-06-17,3,0,3,-39.64999999999998,-39.64999999999998
2026-06-18,4,0,3,-34.150000000000006,-34.150000000000006
