trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
2026-02-01,25350,PE,2026-02-01 10:05:00,202.15,2026-02-01 10:20:00,185.4,-16.75,stop,199.975,1.8499999999999943,-17.599999999999994,False,False,1,-16.75,207.1765264232654,False,-5.026526423265409,True,False,red,False,True,True
2026-02-02,24800,CE,2026-02-02 12:25:00,176.85,2026-02-02 12:30:00,161.5,-15.349999999999994,stop,170.4,1.25,-17.099999999999994,False,False,1,-15.349999999999994,156.79231189417504,True,20.05768810582495,False,False,red,False,False,False
2026-02-04,25700,CE,2026-02-04 10:35:00,194.65,2026-02-04 11:15:00,177.5,-17.150000000000006,stop,189.6,12.349999999999994,-20.65000000000001,False,False,1,-17.150000000000006,216.48725497004813,False,-21.83725497004812,False,False,green,False,False,False
2026-02-04,25700,CE,2026-02-04 12:10:00,194.1,2026-02-04 12:45:00,178.6,-15.5,stop,189.6,8.450000000000017,-16.099999999999994,False,False,2,-32.650000000000006,190.7021632248852,True,3.397836775114797,True,True,green,True,True,True
2026-02-05,25750,PE,2026-02-05 10:25:00,172.6,2026-02-05 11:35:00,172.6,0.0,stop,166.3,38.400000000000006,-3.75,True,False,0,0.0,172.57086211544308,True,0.029137884556917,True,True,green,True,True,True
2026-02-06,25600,PE,2026-02-06 09:50:00,134.95,2026-02-06 11:05:00,133.2,-1.75,stop,130.3,35.150000000000006,-6.599999999999994,True,False,1,-1.75,122.2263234017308,True,12.723676598269194,False,False,green,False,False,True
2026-02-06,25600,CE,2026-02-06 11:55:00,133.5,2026-02-06 12:05:00,111.2,-22.3,stop,130.3,16.30000000000001,-22.349999999999994,False,False,2,-24.05,112.4436763288728,True,21.05632367112719,False,False,green,False,False,False
2026-02-06,25600,PE,2026-02-06 12:40:00,131.0,2026-02-06 13:35:00,106.55,-24.450000000000003,stop,130.3,7.349999999999994,-26.3,False,False,3,-48.5,117.51172280227524,True,13.48827719772477,False,False,green,False,False,True
2026-02-11,26000,PE,2026-02-11 09:55:00,136.35,2026-02-11 10:35:00,117.6,-18.75,stop,132.15,18.55000000000001,-20.099999999999994,False,False,1,-18.75,143.72935530277576,False,-7.379355302775764,True,False,green,False,True,True
2026-02-11,26000,PE,2026-02-11 12:05:00,134.75,2026-02-11 13:25:00,131.2,-3.550000000000012,stop,132.15,25.15000000000001,-10.849999999999994,True,False,2,-22.30000000000001,128.0438695190546,True,6.706130480945404,True,True,green,False,True,True
