month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
Jan,2026-01-01,26150,CE,2026-01-01 09:35:00,105.9,2026-01-01 10:15:00,88.05,-17.85000000000001,stop,104.95,17.299999999999997,-19.80000000000001,False,False,1,-17.85000000000001,115.70058519323888,False,-9.80058519323886,True,False,red,False,True,True
Jan,2026-01-01,26150,CE,2026-01-01 11:00:00,106.65,2026-01-01 11:40:00,89.45,-17.200000000000003,stop,104.95,5.049999999999997,-17.200000000000003,False,False,2,-35.05000000000001,106.33898852683096,True,0.3110114731690458,False,True,red,True,True,True
Jan,2026-01-07,26150,CE,2026-01-07 09:35:00,116.2,2026-01-07 09:40:00,97.45,-18.75,stop,112.5,4.849999999999994,-19.40000000000001,False,False,1,-18.75,131.83052046633128,False,-15.630520466331276,False,False,green,False,False,False
Jan,2026-01-07,26150,CE,2026-01-07 10:00:00,116.75,2026-01-07 10:25:00,112.7,-4.049999999999997,stop,112.5,28.69999999999999,-7.5,True,False,2,-22.8,122.05431435122746,False,-5.304314351227461,False,False,green,False,True,True
Jan,2026-01-07,26150,CE,2026-01-07 11:15:00,121.8,2026-01-07 11:50:00,103.6,-18.200000000000003,stop,112.5,9.000000000000014,-18.200000000000003,False,False,3,-41.0,122.69882778801328,False,-0.8988277880132927,True,False,green,True,True,True
Jan,2026-01-08,26100,PE,2026-01-08 10:15:00,110.1,2026-01-08 13:45:00,187.85,77.75,stop,99.45,122.65,-4.549999999999997,True,True,0,77.75,88.84615730630944,True,21.25384269369056,False,False,green,False,False,False
Jan,2026-01-14,25650,CE,2026-01-14 14:40:00,142.8,2026-01-14 15:05:00,142.7,-0.1000000000000227,stop,139.075,24.099999999999994,-13.400000000000006,True,False,1,-0.1000000000000227,143.99239512473656,False,-1.1923951247365494,False,True,green,True,True,True
Jan,2026-01-14,25650,CE,2026-01-14 15:15:00,140.9,2026-01-14 15:25:00,146.3,5.400000000000006,end_of_day,139.075,9.400000000000006,-0.450000000000017,False,False,1,5.299999999999983,145.01311783306906,False,-4.113117833069055,False,False,red,True,True,True
Jan,2026-01-16,25700,CE,2026-01-16 13:30:00,118.05,2026-01-16 14:05:00,101.05,-17.0,stop,115.6,9.799999999999995,-20.950000000000003,False,False,1,-17.0,149.02587081229382,False,-30.97587081229382,False,False,red,False,False,False
Jan,2026-01-16,25700,CE,2026-01-16 14:40:00,120.0,2026-01-16 15:25:00,108.2,-11.799999999999995,end_of_day,115.6,4.349999999999994,-15.450000000000005,False,False,2,-28.8,122.45312481459264,False,-2.453124814592627,False,True,green,True,True,True
Jan,2026-01-21,25150,CE,2026-01-21 14:55:00,171.3,2026-01-21 15:10:00,165.3,-6.0,stop,168.375,23.94999999999999,-11.300000000000011,True,False,1,-6.0,186.28630920135132,False,-14.986309201351332,False,False,red,False,False,True
Jan,2026-01-22,25350,PE,2026-01-22 10:40:00,148.65,2026-01-22 11:20:00,178.15,29.5,stop,147.475,68.25,-5.050000000000011,True,True,0,29.5,146.84746436004485,True,1.8025356399551529,True,True,red,True,True,True
