trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-02-01,1,0,1,-16.75,-16.75
2026-02-02,1,0,1,-15.349999999999994,-15.349999999999994
2026-02-04,2,0,2,-32.650000000000006,-32.650000000000006
2026-02-05,1,0,0,0.0,0.0
2026-02-06,3,0,3,-48.5,-48.5
2026-02-11,3,0,3,-23.400000000000006,-23.400000000000006
2026-02-12,3,1,2,-26.80000000000001,-26.80000000000001
2026-02-13,2,0,2,-22.500000000000014,-22.500000000000014
2026-02-16,1,1,0,55.0,55.0
2026-02-18,1,0,1,-18.049999999999983,-18.049999999999983
2026-02-23,3,0,3,-25.999999999999986,-25.999999999999986
2026-02-25,1,0,1,-27.200000000000017,-27.200000000000017
2026-02-26,2,0,2,-43.70000000000002,-43.70000000000002
